actual,predicted
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
cats,dogs
